{'timestamp': '2017-07-20 16:44:52', 'ip_address': '111.11.140.157', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'POST'}
{'timestamp': '1982-08-14 07:48:02', 'ip_address': '250.53.203.214', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'POST'}
{'timestamp': '1978-02-14 01:09:46', 'ip_address': '159.4.202.235', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'POST'}
{'timestamp': '2020-04-05 23:54:43', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'GET'}
{'timestamp': '2019-08-22 16:58:15', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'GET'}
{'timestamp': '1992-05-21 05:48:33', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'PUT'}
{'timestamp': '1996-10-23 18:05:17', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'GET'}
{'timestamp': '2019-03-09 04:51:35', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'PUT'}
{'timestamp': '2020-05-13 00:16:52', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'GET'}
{'timestamp': '2018-07-19 11:46:06', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'PUT'}
{'timestamp': '1978-07-26 20:30:26', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'GET'}
{'timestamp': '1999-08-30 04:50:25', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'PUT'}
{'timestamp': '1996-10-03 02:33:36', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'GET'}
{'timestamp': '1995-11-03 06:02:21', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'POST'}
{'timestamp': '2019-09-13 09:16:17', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'PUT'}
{'timestamp': '2003-01-25 10:23:17', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'PUT'}
{'timestamp': '1987-09-07 03:12:53', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'GET'}
{'timestamp': '2017-12-20 11:29:18', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'POST'}
{'timestamp': '2019-08-29 02:58:53', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'GET'}
{'timestamp': '1997-07-06 15:28:40', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'PUT'}
{'timestamp': '2015-06-18 16:57:14', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'GET'}
{'timestamp': '2011-09-25 18:03:44', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'POST'}
{'timestamp': '2021-08-07 15:23:17', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'GET'}
{'timestamp': '1986-04-29 18:24:30', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'GET'}
{'timestamp': '2015-01-08 00:05:02', 'ip_address': '29.193.21.38', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'GET'}
